Time (s),W,X,Y,Z
0.000000000,-0.2067347,0.2118128,-0.8084251,-0.505443
0.005010128,-0.2067866,0.2118513,-0.8084194,-0.5054147
0.010020256,-0.2068452,0.2118983,-0.8084103,-0.5053858
0.015030861,-0.2068779,0.211923,-0.8083996,-0.5053793
0.020040512,-0.206907,0.211955,-0.8083914,-0.5053667
0.025050640,-0.2069134,0.2119628,-0.8083787,-0.5053812
0.030060768,-0.2069229,0.2119633,-0.8083709,-0.5053896
0.035070419,-0.2069288,0.2119683,-0.8083623,-0.5053989
0.040080547,-0.2069236,0.2119559,-0.8083456,-0.5054328
0.045091152,-0.2069274,0.2119541,-0.8083342,-0.5054504
0.050100803,-0.2069301,0.2119566,-0.808319,-0.5054727
0.055110931,-0.2069388,0.2119664,-0.8083,-0.5054954
0.060121059,-0.2069587,0.2119976,-0.808282,-0.5055029
0.065131664,-0.2069628,0.2120055,-0.8082646,-0.5055256
0.070141315,-0.207012,0.2120803,-0.8082342,-0.5055227
0.075151443,-0.2070737,0.212176,-0.8081858,-0.5055347
0.080161571,-0.2071372,0.2122833,-0.8081344,-0.5055456
0.085171222,-0.2072097,0.2123897,-0.8080847,-0.5055506
0.090181827,-0.2072739,0.2125024,-0.8080373,-0.5055529
0.095191955,-0.2073359,0.2126015,-0.8079843,-0.5055707
0.100201607,-0.2073922,0.2126909,-0.8079292,-0.5055979
0.105207920,-0.2074489,0.2127827,-0.807873,-0.5056258
0.110217571,-0.2075019,0.212861,-0.8078129,-0.5056672
0.112722873,-0.2075239,0.2128944,-0.8077848,-0.5056889
0.117733002,-0.2075412,0.2129241,-0.807741,-0.5057393
0.122743130,-0.2075587,0.212944,-0.8077005,-0.5057882
0.127753734,-0.2075797,0.2129724,-0.8076569,-0.5058375
0.132763386,-0.20762,0.2129987,-0.8076031,-0.5058956
0.137773514,-0.2076599,0.2130231,-0.8075507,-0.5059527
0.142783165,-0.2076919,0.2130416,-0.8074954,-0.5060199
0.147793770,-0.2077367,0.2130541,-0.8074324,-0.5060969
0.152803898,-0.2077739,0.2130616,-0.8073642,-0.5061873
0.157814026,-0.2078255,0.2130723,-0.8072932,-0.5062747
0.162823677,-0.2078593,0.2130628,-0.8072197,-0.5063822
0.167833805,-0.2079219,0.2130817,-0.8071339,-0.5064853
0.172844410,-0.2079919,0.2131266,-0.8070495,-0.5065722
0.177854538,-0.2080654,0.2131724,-0.8069677,-0.5066529
0.182864189,-0.2081376,0.21324,-0.8068902,-0.5067183
0.187874317,-0.2081753,0.213266,-0.806815,-0.5068117
0.192884445,-0.2082184,0.2133083,-0.8067328,-0.5069067
0.197895050,-0.2082687,0.2133513,-0.8066471,-0.5070045
0.202904701,-0.2083188,0.2134034,-0.8065556,-0.5071077
0.207914829,-0.2083698,0.2134615,-0.8064689,-0.5071999
0.212924480,-0.2084163,0.2135139,-0.8063776,-0.5073039
0.217934608,-0.2084983,0.2136187,-0.8062866,-0.5073711
0.222945213,-0.2085782,0.2137391,-0.8061978,-0.5074283
0.227955341,-0.2086712,0.2138685,-0.8061215,-0.5074567
0.232964992,-0.2087543,0.2139934,-0.8060509,-0.5074821
0.237975120,-0.2088407,0.2141383,-0.805993,-0.5074774
0.242985248,-0.2089262,0.2142683,-0.8059476,-0.5074595
0.247995853,-0.2089962,0.2143966,-0.8059103,-0.5074357
0.253005504,-0.2090619,0.2144957,-0.8058725,-0.5074269
0.258015632,-0.2091043,0.2145645,-0.8058318,-0.5074446
0.263025284,-0.209132,0.2145951,-0.8057802,-0.5075024
0.268035412,-0.209163,0.214631,-0.8057209,-0.5075685
0.273046017,-0.2091978,0.2146813,-0.8056576,-0.5076336
0.278056145,-0.2092171,0.2147176,-0.8055992,-0.5077029
0.283065796,-0.209217,0.2147338,-0.8055521,-0.5077709
0.288075924,-0.2092417,0.214797,-0.8055198,-0.5077851
0.293086052,-0.2092478,0.214832,-0.805495,-0.5078073
0.298096657,-0.2092629,0.2148872,-0.8054866,-0.5077909
0.303102493,-0.2092768,0.2149512,-0.8054903,-0.5077521
0.308112144,-0.2092599,0.214994,-0.8055078,-0.5077134
0.313122272,-0.209254,0.215058,-0.8055346,-0.5076462
0.318132400,-0.2092005,0.2150615,-0.8055818,-0.5075918
